Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
543,female,group D,associate's degree,standard,none,82,95,89
62,male,group A,associate's degree,free/reduced,none,62,61,55
64,female,group D,some high school,standard,none,59,58,59
914,female,group B,associate's degree,free/reduced,none,46,61,55
264,male,group D,high school,standard,none,76,73,68
467,male,group A,high school,free/reduced,completed,72,67,65
348,male,group D,high school,free/reduced,none,75,74,66
206,male,group E,bachelor's degree,standard,none,82,62,62
159,male,group D,associate's degree,free/reduced,none,66,62,64
954,female,group C,some college,standard,none,62,69,69
18,male,group C,master's degree,free/reduced,completed,46,42,46
107,male,group E,associate's degree,standard,completed,66,63,64
436,male,group D,associate's degree,standard,none,75,68,64
378,female,group A,some high school,standard,none,71,83,77
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
392,male,group E,some college,standard,none,76,67,67
297,male,group E,associate's degree,standard,completed,71,74,68
808,male,group C,high school,standard,none,90,75,69
383,female,group E,some high school,free/reduced,none,38,49,45
404,female,group C,high school,standard,none,54,59,62
439,male,group D,some high school,standard,completed,89,88,82
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
32,female,group E,master's degree,free/reduced,none,56,72,65
90,female,group C,bachelor's degree,standard,none,65,72,74
306,male,group E,some college,standard,completed,99,87,81
330,male,group C,high school,standard,none,71,60,61
322,female,group C,some college,standard,none,71,81,80
47,female,group C,high school,standard,none,66,71,76
399,male,group D,some high school,standard,none,60,59,54
605,male,group C,some high school,standard,none,75,72,62
718,female,group C,high school,standard,none,76,76,74
735,male,group C,master's degree,standard,none,67,57,59
818,female,group B,high school,free/reduced,none,60,72,68
741,female,group A,associate's degree,free/reduced,none,37,57,56
647,female,group E,high school,free/reduced,none,64,62,68
477,male,group D,associate's degree,standard,none,80,68,72
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
695,female,group D,some college,free/reduced,none,79,89,86
780,female,group D,associate's degree,free/reduced,none,46,56,57
43,male,group B,some college,free/reduced,completed,59,65,66
333,male,group B,associate's degree,standard,none,90,78,81
346,male,group B,some college,standard,none,62,61,57
881,female,group E,bachelor's degree,standard,completed,71,70,70
234,male,group C,bachelor's degree,standard,completed,83,82,84
191,male,group D,some college,standard,completed,76,83,79
810,male,group A,some high school,standard,none,51,31,36
127,male,group D,some college,standard,completed,65,77,74
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
865,male,group D,some college,standard,completed,82,82,88
133,female,group C,some college,standard,completed,75,81,84
988,female,group A,some high school,free/reduced,none,44,45,45
712,female,group D,some college,standard,none,98,100,99
314,female,group C,bachelor's degree,standard,completed,59,64,75
878,female,group D,some high school,standard,none,59,72,80
430,male,group C,associate's degree,free/reduced,none,64,66,59
429,male,group C,some high school,free/reduced,none,68,63,54
916,male,group E,bachelor's degree,standard,completed,100,100,100
313,female,group C,associate's degree,free/reduced,completed,68,67,69
632,female,group B,bachelor's degree,standard,completed,66,74,81
575,male,group A,associate's degree,free/reduced,completed,40,55,53
28,male,group C,high school,standard,none,70,70,65
698,female,group D,associate's degree,standard,completed,57,78,79
157,male,group B,some college,free/reduced,none,60,60,60
490,female,group A,associate's degree,free/reduced,none,65,85,76
546,female,group A,some high school,standard,completed,92,100,97
131,male,group C,some high school,free/reduced,completed,53,37,40
764,male,group D,some college,standard,none,60,63,59
331,male,group C,associate's degree,standard,none,47,37,35
618,male,group D,master's degree,standard,none,95,81,84
26,male,group B,some college,standard,none,69,54,55
428,male,group A,some high school,free/reduced,none,65,59,53
637,female,group D,some high school,standard,completed,80,92,88
561,female,group C,some college,standard,none,63,74,74
828,female,group D,some high school,free/reduced,completed,69,86,81
783,female,group C,associate's degree,standard,completed,52,59,62
896,male,group B,high school,free/reduced,none,36,29,27
395,male,group A,high school,free/reduced,none,48,45,41
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
675,female,group B,some college,standard,completed,50,64,66
768,female,group D,some high school,standard,none,68,71,75
565,male,group B,associate's degree,standard,none,48,43,45
305,male,group A,some college,standard,none,69,67,69
478,female,group D,master's degree,standard,none,55,64,70
856,male,group B,some college,free/reduced,none,75,68,65
654,female,group B,some high school,standard,none,73,79,79
806,female,group D,some college,free/reduced,none,64,74,75
520,male,group D,some college,standard,none,71,49,52
968,female,group E,associate's degree,standard,none,68,76,67
727,male,group E,some high school,standard,completed,68,51,57
55,female,group C,high school,free/reduced,none,33,41,43
51,male,group E,associate's degree,free/reduced,completed,77,69,68
611,female,group C,some college,standard,none,58,59,66
849,male,group D,associate's degree,standard,none,80,75,69
530,female,group C,associate's degree,standard,completed,68,67,73
141,female,group C,some college,free/reduced,none,59,62,64
714,female,group B,some high school,standard,completed,60,70,74
254,male,group D,high school,standard,none,54,52,52
516,female,group D,some college,standard,none,74,89,84
412,male,group D,associate's degree,standard,none,71,66,60
356,male,group A,associate's degree,standard,none,63,61,61
246,male,group E,associate's degree,standard,none,89,76,74
290,male,group C,associate's degree,standard,none,76,70,68
31,female,group B,some college,standard,none,63,65,61
500,female,group D,master's degree,standard,none,74,79,82
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
475,female,group D,bachelor's degree,standard,completed,71,76,83
826,female,group C,associate's degree,free/reduced,completed,56,68,70
559,male,group D,some high school,standard,none,73,66,62
303,male,group B,associate's degree,standard,none,80,76,64
589,female,group A,some high school,standard,none,48,66,65
329,female,group B,some high school,standard,none,41,55,51
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
900,male,group D,master's degree,standard,none,85,84,89
273,female,group D,some college,standard,none,65,70,71
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
466,female,group D,associate's degree,free/reduced,none,26,31,38
816,female,group A,bachelor's degree,standard,none,45,59,64
600,female,group D,master's degree,standard,none,54,60,63
353,female,group C,associate's degree,standard,none,46,58,57
912,female,group C,bachelor's degree,standard,completed,52,61,66
72,female,group A,associate's degree,free/reduced,none,41,51,48
580,female,group D,some high school,standard,none,81,97,96
219,male,group B,some high school,standard,completed,61,56,56
454,female,group C,associate's degree,free/reduced,none,53,61,62
53,male,group D,high school,standard,none,88,78,75
550,male,group C,some high school,free/reduced,none,79,76,65
887,male,group C,high school,free/reduced,none,54,72,59
312,male,group D,bachelor's degree,standard,completed,67,61,68
213,male,group C,associate's degree,free/reduced,completed,60,51,56
814,female,group C,high school,standard,none,72,80,83
891,female,group E,associate's degree,standard,none,85,92,85
777,female,group C,some college,free/reduced,none,35,44,43
835,female,group C,high school,standard,completed,60,64,74
375,male,group E,associate's degree,free/reduced,none,46,43,41
851,female,group A,high school,standard,none,61,68,63
453,male,group C,some college,free/reduced,none,65,58,49
629,female,group C,some high school,standard,completed,44,51,55
880,male,group C,bachelor's degree,standard,completed,63,64,66
906,male,group B,high school,standard,none,57,48,51
534,male,group B,high school,standard,completed,73,69,68
703,female,group D,some college,standard,none,63,64,67
845,male,group E,master's degree,standard,none,90,85,84
588,female,group C,some college,standard,none,54,64,65
998,female,group D,some college,standard,completed,68,78,77
544,female,group D,master's degree,standard,none,64,63,66
181,female,group C,some college,free/reduced,none,46,64,66
407,female,group B,associate's degree,standard,none,82,80,77
30,female,group D,some college,standard,none,69,74,74
410,female,group D,master's degree,standard,completed,70,71,74
511,male,group A,some high school,standard,none,64,50,43
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
645,female,group B,bachelor's degree,standard,completed,65,81,81
736,male,group C,associate's degree,standard,none,92,79,84
548,female,group C,high school,free/reduced,none,62,67,64
350,female,group B,bachelor's degree,standard,none,52,65,69
754,male,group C,associate's degree,free/reduced,none,58,55,53
765,female,group B,high school,standard,none,74,72,72
522,male,group D,bachelor's degree,standard,none,69,58,57
676,female,group E,some college,standard,completed,73,78,76
209,female,group B,some college,free/reduced,none,58,61,66
232,female,group B,bachelor's degree,standard,none,67,86,83
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
464,male,group A,bachelor's degree,standard,completed,75,58,62
525,male,group E,some college,standard,none,68,60,59
701,female,group B,some high school,standard,none,57,67,72
567,female,group D,master's degree,free/reduced,completed,61,71,78
641,female,group D,associate's degree,free/reduced,completed,74,88,90
697,female,group A,bachelor's degree,standard,none,59,72,70
825,male,group C,high school,standard,none,62,67,58
115,male,group C,high school,standard,none,84,77,74
648,female,group B,high school,standard,none,50,53,55
750,male,group D,some high school,standard,completed,71,69,68
928,male,group E,associate's degree,free/reduced,completed,46,43,44
610,male,group D,some college,free/reduced,completed,69,60,63
531,female,group C,some high school,standard,none,47,54,53
733,male,group D,some high school,standard,none,55,47,44
217,female,group C,high school,free/reduced,none,34,42,39
145,female,group C,some college,free/reduced,none,22,39,33
284,female,group B,some high school,standard,none,37,46,46
147,male,group C,associate's degree,free/reduced,none,73,68,66
974,female,group A,some college,standard,none,54,63,67
755,female,group E,associate's degree,standard,none,84,95,92
65,male,group B,some high school,standard,none,67,64,61
261,male,group C,some college,standard,completed,79,79,78
271,male,group C,some college,standard,none,58,49,42
683,female,group C,some high school,free/reduced,completed,29,40,44
809,male,group B,bachelor's degree,standard,none,59,54,51
233,male,group E,some high school,standard,none,92,87,78
659,male,group D,associate's degree,standard,none,90,87,85
318,male,group B,bachelor's degree,standard,none,63,71,69
852,female,group E,some college,standard,none,87,85,93
15,female,group C,some high school,standard,none,69,75,78
776,female,group B,high school,standard,none,66,72,70
472,female,group C,associate's degree,standard,completed,68,86,84
584,female,group D,some college,standard,none,69,77,77
296,male,group A,some high school,standard,completed,46,41,43
794,female,group B,high school,standard,none,42,52,51
276,female,group C,some high school,standard,completed,85,92,93
376,female,group D,some high school,standard,none,80,90,82
45,male,group B,associate's degree,standard,none,65,54,57
684,male,group B,some college,standard,completed,62,66,68
545,male,group E,some high school,free/reduced,completed,78,83,80
979,female,group C,associate's degree,standard,none,91,95,94
527,female,group C,high school,free/reduced,none,36,53,43
451,female,group E,some college,standard,none,100,92,97
465,female,group C,some college,standard,none,84,87,91
892,female,group A,master's degree,free/reduced,none,50,67,73
785,female,group B,some high school,standard,completed,32,51,44
505,female,group B,some high school,standard,none,82,82,80
158,female,group B,associate's degree,standard,completed,61,86,87
807,female,group E,high school,free/reduced,none,41,45,40
359,female,group D,some college,standard,none,80,90,89
426,male,group C,bachelor's degree,standard,none,86,83,86
846,male,group C,master's degree,standard,completed,91,85,85
17,female,group B,some high school,free/reduced,none,18,32,28
960,female,group A,some college,standard,none,56,58,64
178,female,group B,master's degree,free/reduced,completed,52,70,62
902,female,group A,high school,free/reduced,completed,34,48,41
162,male,group B,master's degree,free/reduced,none,49,53,52
625,male,group D,some college,standard,completed,100,97,99
95,male,group C,associate's degree,free/reduced,completed,78,81,82
96,male,group B,some high school,standard,completed,65,66,62
730,female,group B,associate's degree,free/reduced,completed,68,77,80
194,female,group C,master's degree,standard,completed,69,84,85
660,male,group C,some college,free/reduced,none,74,77,73
165,female,group C,bachelor's degree,standard,completed,96,100,100
223,male,group D,some high school,standard,none,86,80,75
860,female,group C,associate's degree,standard,none,53,62,53
382,male,group C,master's degree,free/reduced,none,79,81,71
737,female,group B,some college,free/reduced,completed,53,66,73
192,female,group B,some high school,standard,none,62,64,66
93,male,group C,associate's degree,free/reduced,completed,43,45,50
108,female,group B,associate's degree,free/reduced,none,52,76,70
899,female,group D,some high school,standard,completed,65,78,82
728,female,group D,high school,free/reduced,none,73,92,84
731,male,group A,some high school,free/reduced,none,55,46,43
942,male,group C,high school,standard,none,81,66,64
747,male,group C,some college,standard,none,69,64,68
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
882,female,group B,high school,free/reduced,none,64,73,71
796,male,group D,high school,standard,none,70,70,70
875,male,group C,some college,free/reduced,none,80,64,66
644,male,group B,high school,standard,none,70,65,60
591,male,group A,some high school,standard,none,71,62,50
345,female,group C,high school,standard,none,72,80,75
864,male,group C,associate's degree,standard,none,97,93,91
943,male,group A,some high school,free/reduced,completed,61,62,61
989,female,group D,some college,free/reduced,completed,67,86,83
328,male,group C,associate's degree,standard,completed,82,75,77
666,female,group C,some college,free/reduced,completed,63,73,71
840,female,group D,high school,free/reduced,none,39,52,46
723,male,group C,high school,standard,none,50,48,42
76,male,group E,some high school,standard,none,30,26,22
650,male,group C,some high school,free/reduced,completed,51,56,53
558,female,group B,associate's degree,free/reduced,none,53,70,70
420,female,group C,associate's degree,free/reduced,completed,82,93,93
54,female,group C,some high school,free/reduced,completed,71,84,87
627,male,group D,associate's degree,standard,none,61,48,46
327,male,group A,some college,free/reduced,none,28,23,19
163,male,group C,high school,standard,none,52,53,49
708,male,group D,high school,standard,none,89,87,79
872,male,group B,associate's degree,standard,completed,82,84,78
248,female,group B,high school,standard,none,65,64,62
990,male,group E,high school,free/reduced,completed,86,81,75
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
2,female,group B,master's degree,standard,none,90,95,93
540,male,group C,high school,standard,completed,75,69,68
155,female,group C,some college,standard,completed,70,89,88
187,male,group D,some high school,standard,completed,62,66,68
521,female,group C,associate's degree,standard,none,91,86,84
837,female,group A,high school,standard,completed,75,82,79
406,male,group B,associate's degree,standard,completed,65,65,63
812,female,group C,master's degree,standard,completed,54,64,67
665,female,group C,some high school,free/reduced,completed,50,60,60
452,female,group C,associate's degree,free/reduced,none,65,77,74
609,female,group B,associate's degree,standard,none,58,63,65
751,male,group E,some college,standard,none,68,72,65
614,female,group A,associate's degree,standard,none,82,93,93
184,male,group C,some high school,free/reduced,completed,45,52,49
57,male,group D,associate's degree,standard,none,52,55,49
215,male,group B,some high school,standard,completed,84,83,75
848,female,group C,high school,standard,none,59,72,68
148,female,group D,bachelor's degree,standard,completed,68,75,81
677,female,group C,some high school,standard,completed,70,82,76
112,male,group A,associate's degree,standard,none,54,53,47
256,female,group C,associate's degree,free/reduced,none,64,73,68
570,male,group B,some college,standard,completed,71,75,70
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
970,female,group D,bachelor's degree,standard,none,89,100,100
486,male,group D,some college,free/reduced,none,61,47,56
91,male,group C,high school,free/reduced,none,27,34,36
626,male,group B,associate's degree,free/reduced,completed,69,70,63
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
503,female,group E,associate's degree,standard,completed,95,89,92
628,male,group D,some college,free/reduced,none,49,57,46
945,female,group C,associate's degree,standard,none,54,61,58
493,female,group C,bachelor's degree,standard,none,81,88,90
633,female,group C,high school,standard,none,75,88,85
786,female,group E,some high school,free/reduced,none,72,79,77
986,female,group C,associate's degree,standard,none,40,59,51
160,male,group B,associate's degree,free/reduced,completed,82,78,74
811,male,group A,high school,free/reduced,none,45,47,49
501,female,group B,associate's degree,standard,completed,94,87,92
179,female,group D,some high school,standard,completed,97,100,100
197,male,group E,high school,free/reduced,none,55,56,51
105,female,group C,some college,standard,none,58,67,72
413,male,group B,some high school,standard,completed,63,67,67
532,male,group E,associate's degree,standard,completed,62,61,58
481,female,group D,associate's degree,free/reduced,none,52,59,56
237,female,group D,some high school,standard,completed,64,60,74
939,male,group D,some high school,standard,completed,77,68,69
724,male,group B,some college,standard,none,47,43,41
183,female,group D,associate's degree,standard,none,65,69,70
182,female,group E,high school,standard,none,50,50,47
889,male,group D,high school,free/reduced,none,44,51,48
355,female,group B,bachelor's degree,standard,none,61,72,70
84,male,group D,high school,free/reduced,none,42,39,34
571,male,group A,bachelor's degree,standard,none,91,96,92
58,male,group D,some college,standard,completed,58,59,58
458,female,group E,bachelor's degree,standard,none,100,100,100
156,female,group E,high school,free/reduced,completed,66,74,78
994,male,group A,high school,standard,none,63,63,62
957,female,group D,master's degree,standard,none,92,100,100
838,male,group B,associate's degree,free/reduced,completed,58,57,53
198,female,group B,some college,free/reduced,none,45,53,55
682,male,group B,high school,standard,none,62,55,54
941,female,group D,master's degree,standard,none,78,91,96
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
175,female,group C,master's degree,standard,completed,81,91,87
619,male,group C,associate's degree,free/reduced,completed,65,73,68
309,female,group D,high school,free/reduced,none,49,57,52
936,male,group A,associate's degree,standard,none,67,57,53
693,female,group D,associate's degree,standard,none,77,77,73
836,male,group E,high school,standard,none,73,64,57
371,female,group C,some college,free/reduced,completed,45,73,70
245,male,group C,associate's degree,standard,none,85,76,71
203,female,group B,associate's degree,standard,none,57,69,68
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
300,male,group A,some college,free/reduced,completed,81,78,81
491,female,group C,associate's degree,standard,none,64,64,70
577,female,group B,high school,standard,none,81,91,89
480,male,group B,high school,standard,completed,73,71,68
772,female,group B,some high school,free/reduced,completed,52,67,72
824,female,group C,some high school,free/reduced,none,48,58,52
225,female,group E,master's degree,free/reduced,none,45,56,54
758,female,group D,some college,free/reduced,completed,52,59,65
25,male,group A,master's degree,free/reduced,none,73,74,72
335,female,group B,some college,free/reduced,none,61,68,66
949,female,group E,high school,free/reduced,completed,57,75,73
699,male,group C,high school,free/reduced,none,66,66,59
539,male,group A,associate's degree,standard,completed,97,92,86
110,female,group D,associate's degree,free/reduced,completed,77,89,98
672,female,group C,some college,standard,none,69,78,76
752,male,group C,master's degree,free/reduced,completed,79,77,75
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
685,female,group E,master's degree,standard,completed,94,99,100
585,female,group C,associate's degree,standard,none,65,76,76
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
635,male,group A,high school,standard,none,71,74,64
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
208,female,group B,some college,free/reduced,none,74,81,76
946,male,group B,high school,standard,none,82,82,80
470,female,group C,associate's degree,standard,completed,83,85,90
146,male,group B,some high school,standard,none,88,84,75
352,female,group C,some college,standard,completed,63,78,80
447,male,group C,high school,standard,completed,86,81,80
119,female,group C,some college,standard,none,55,69,65
670,female,group C,high school,free/reduced,none,66,76,68
417,male,group C,associate's degree,standard,none,74,73,67
419,male,group E,high school,free/reduced,completed,57,56,54
100,male,group B,some college,standard,none,79,67,67
958,female,group D,high school,standard,none,45,63,59
291,male,group D,some high school,standard,none,86,73,70
89,female,group D,some high school,standard,none,73,86,82
82,male,group A,some college,free/reduced,completed,50,47,54
269,female,group E,some college,free/reduced,none,71,76,70
204,male,group C,some college,standard,none,59,41,42
104,male,group C,some college,standard,completed,98,86,90
373,female,group D,some college,standard,completed,82,97,96
384,female,group A,some high school,free/reduced,none,38,43,43
74,male,group C,some high school,standard,none,49,49,41
630,male,group D,some college,standard,none,67,64,70
459,male,group B,high school,standard,completed,72,65,68
418,male,group D,some college,standard,none,68,59,62
473,female,group D,some high school,standard,none,59,67,61
653,female,group A,associate's degree,standard,completed,65,70,74
901,female,group C,master's degree,standard,none,73,78,74
948,male,group B,some high school,free/reduced,completed,49,50,52
49,male,group C,high school,standard,completed,82,84,82
278,female,group C,some high school,free/reduced,none,65,86,80
432,male,group C,high school,standard,none,61,56,55
844,female,group D,some high school,free/reduced,completed,40,65,64
963,female,group C,some high school,free/reduced,completed,65,76,75
259,female,group C,master's degree,free/reduced,completed,65,81,81
642,female,group B,some high school,free/reduced,none,72,81,79
241,female,group E,bachelor's degree,standard,none,80,83,83
253,male,group D,master's degree,standard,none,80,80,72
390,male,group E,some high school,free/reduced,completed,73,67,59
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
843,male,group B,some college,free/reduced,completed,74,77,76
